Unnamed: 0,Airline,Total_Stops,Additional_Info,Distance_km,Day_of_journey,Month_of_journey,Dep_hour,Dep_minute,Dep_time_sinceMidnight,Arrival_hour,Arrival_minute,Arrival_time_sinceMidnight,Duration_mins,Premium
6917,IndiGo,0,No Info,1733.8148384158953,3,3,22,20,1340,1,10,70,170.0,0
9245,IndiGo,1,No Info,2067.9375320460367,27,3,14,20,860,22,20,1340,480.0,0
6216,Jet Airways,1,In-flight meal not included,1555.0674811297085,18,5,16,30,990,16,20,980,1430.0,0
6628,Air Asia,1,No Info,1555.0674811297085,24,5,7,35,455,23,30,1410,955.0,0
7605,Multiple carriers,1,No Info,1555.0674811297085,9,5,16,40,1000,0,15,15,455.0,0
1860,Jet Airways,1,No Info,1555.0674811297085,9,5,16,30,990,8,15,495,945.0,0
1919,Jet Airways,1,In-flight meal not included,1733.8148384158953,15,3,7,0,420,13,15,795,375.0,0
6088,IndiGo,1,No Info,2067.9375320460367,3,3,11,30,690,21,0,1260,570.0,0
670,Jet Airways,1,In-flight meal not included,2067.9375320460367,3,6,19,45,1185,4,25,265,520.0,0
300,IndiGo,0,No Info,621.7888435036485,3,5,2,35,155,4,5,245,90.0,0
3545,Air India,2,No Info,1733.8148384158953,1,3,8,50,530,11,10,670,140.0,0
9137,Jet Airways,1,In-flight meal not included,1733.8148384158953,12,3,22,55,1375,10,45,645,710.0,0
7323,SpiceJet,0,No check-in baggage included,1555.0674811297085,21,5,6,55,415,9,30,570,155.0,0
10449,Jet Airways,1,In-flight meal not included,1555.0674811297085,24,3,19,45,1185,23,25,1405,220.0,0
3232,Jet Airways,1,No Info,1555.0674811297085,12,6,14,5,845,10,5,605,1200.0,0
5190,Air India,2,No Info,1555.0674811297085,1,5,10,0,600,5,25,325,1165.0,0
7995,SpiceJet,1,No Info,2067.9375320460367,24,6,15,45,945,22,5,1325,380.0,0
845,Multiple carriers,1,No Info,2067.9375320460367,21,3,9,0,540,19,15,1155,615.0,0
8853,Air India,1,No Info,1555.0674811297085,9,5,10,0,600,23,15,1395,795.0,0
